Index,Original_Index,Num_c,SMILES,SMILES_Salt,Halide_Type
219,131,11,CC[N+](CC)(CC(C)C)C(C)C,CC[N+](CC)(CC(C)C)C(C)C.[Br-],Bromide
220,131,11,CC[N+](CC)(CC(C)C)C(C)C,CC[N+](CC)(CC(C)C)C(C)C.[Cl-],Chloride
221,132,11,CC[N+](CC)(CC)CCC(C)C,CC[N+](CC)(CC)CCC(C)C.[Br-],Bromide
222,132,11,CC[N+](CC)(CC)CCC(C)C,CC[N+](CC)(CC)CCC(C)C.[Cl-],Chloride
223,134,12,CC(C)CC[N+](C)(C)CCC(C)C,CC(C)CC[N+](C)(C)CCC(C)C.[Br-],Bromide
224,134,12,CC(C)CC[N+](C)(C)CCC(C)C,CC(C)CC[N+](C)(C)CCC(C)C.[Cl-],Chloride
225,136,12,CC(C)C[N+](C)(CC(C)C)C(C)C,CC(C)C[N+](C)(CC(C)C)C(C)C.[Br-],Bromide
226,136,12,CC(C)C[N+](C)(CC(C)C)C(C)C,CC(C)C[N+](C)(CC(C)C)C(C)C.[Cl-],Chloride
227,137,12,CC(C)[N+](C(C)C)(C(C)C)C(C)C,CC(C)[N+](C(C)C)(C(C)C)C(C)C.[Br-],Bromide
228,137,12,CC(C)[N+](C(C)C)(C(C)C)C(C)C,CC(C)[N+](C(C)C)(C(C)C)C(C)C.[Cl-],Chloride
229,138,12,CC(C)[N+](C)(C(C)(C)C)C(C)(C)C,CC(C)[N+](C)(C(C)(C)C)C(C)(C)C.[Br-],Bromide
230,138,12,CC(C)[N+](C)(C(C)(C)C)C(C)(C)C,CC(C)[N+](C)(C(C)(C)C)C(C)(C)C.[Cl-],Chloride
231,140,12,CCC(C)C[N+](C)(C)CC(C)CC,CCC(C)C[N+](C)(C)CC(C)CC.[Br-],Bromide
232,140,12,CCC(C)C[N+](C)(C)CC(C)CC,CCC(C)C[N+](C)(C)CC(C)CC.[Cl-],Chloride
233,146,12,CCCC(C)[N+](C)(C)C(C)CCC,CCCC(C)[N+](C)(C)C(C)CCC.[Br-],Bromide
234,146,12,CCCC(C)[N+](C)(C)C(C)CCC,CCCC(C)[N+](C)(C)C(C)CCC.[Cl-],Chloride
235,154,12,CCCC(C)[N+](CC)(CC)CCC,CCCC(C)[N+](CC)(CC)CCC.[Br-],Bromide
236,154,12,CCCC(C)[N+](CC)(CC)CCC,CCCC(C)[N+](CC)(CC)CCC.[Cl-],Chloride
237,156,12,CCCCCCC[N+](C)(C)CCC,CCCCCCC[N+](C)(C)CCC.[Br-],Bromide
238,156,12,CCCCCCC[N+](C)(C)CCC,CCCCCCC[N+](C)(C)CCC.[Cl-],Chloride
239,157,12,CCCCCCC[N+](C)(CC)CC,CCCCCCC[N+](C)(CC)CC.[Br-],Bromide
240,157,12,CCCCCCC[N+](C)(CC)CC,CCCCCCC[N+](C)(CC)CC.[Cl-],Chloride
241,158,12,CCCCCC[N+](C)(C)C(C)(C)C,CCCCCC[N+](C)(C)C(C)(C)C.[Br-],Bromide
242,158,12,CCCCCC[N+](C)(C)C(C)(C)C,CCCCCC[N+](C)(C)C(C)(C)C.[Cl-],Chloride
243,159,12,CCCCCC[N+](C)(C)CC(C)C,CCCCCC[N+](C)(C)CC(C)C.[Br-],Bromide
