Index,Num_c,SMILES,smiles,exists,cid,name,molecular_weight
91,11,CCCC(C)[N+](C)(CC)CCC,CCCC(C)[N+](C)(CC)CCC,True,,,
92,11,CCCC(C)[N+](CC)(CC)CC,CCCC(C)[N+](CC)(CC)CC,True,,,
93,11,CCCCCCC[N+](C)(C)CC,CCCCCCC[N+](C)(C)CC,True,23088859.0,ethyl-heptyl-dimethylazanium,172.33
94,11,CCCCCC[N+](C)(C)C(C)C,CCCCCC[N+](C)(C)C(C)C,True,102472160.0,hexyl-dimethyl-propan-2-ylazanium,172.33
95,11,CCCCCC[N+](C)(C)CCC,CCCCCC[N+](C)(C)CCC,True,23088822.0,hexyl-dimethyl-propylazanium,172.33
96,11,CCCCCC[N+](C)(CC)CC,CCCCCC[N+](C)(CC)CC,True,11672744.0,diethyl-hexyl-methylazanium,172.33
97,11,CCCCC[N+](C)(C)C(C)(C)C,CCCCC[N+](C)(C)C(C)(C)C,True,88457097.0,tert-butyl-dimethyl-pentylazanium,172.33
98,11,CCCCC[N+](C)(C)CC(C)C,CCCCC[N+](C)(C)CC(C)C,True,,,
99,11,CCCCC[N+](C)(C)CCCC,CCCCC[N+](C)(C)CCCC,True,53780101.0,butyl-dimethyl-pentylazanium,172.33
100,11,CCCCC[N+](C)(CC)C(C)C,CCCCC[N+](C)(CC)C(C)C,True,,,
101,11,CCCCC[N+](C)(CC)CCC,CCCCC[N+](C)(CC)CCC,True,23088854.0,ethyl-methyl-pentyl-propylazanium,172.33
102,11,CCCCC[N+](CC)(CC)CC,CCCCC[N+](CC)(CC)CC,True,152429.0,triethyl(pentyl)azanium,172.33
103,11,CCCC[N+](C)(C(C)C)C(C)C,CCCC[N+](C)(C(C)C)C(C)C,True,,,
104,11,CCCC[N+](C)(C)C(C)CCC,CCCC[N+](C)(C)C(C)CCC,True,123184718.0,butyl-dimethyl-pentan-2-ylazanium,172.33
105,11,CCCC[N+](C)(C)CC(C)CC,CCCC[N+](C)(C)CC(C)CC,True,88981039.0,butyl-dimethyl-(2-methylbutyl)azanium,172.33
106,11,CCCC[N+](C)(C)CCC(C)C,CCCC[N+](C)(C)CCC(C)C,True,123373067.0,butyl-dimethyl-(3-methylbutyl)azanium,172.33
107,11,CCCC[N+](C)(CC)C(C)(C)C,CCCC[N+](C)(CC)C(C)(C)C,True,,,
108,11,CCCC[N+](C)(CC)CC(C)C,CCCC[N+](C)(CC)CC(C)C,True,,,
109,11,CCCC[N+](C)(CC)CCCC,CCCC[N+](C)(CC)CCCC,True,22487000.0,dibutyl-ethyl-methylazanium,172.33
110,11,CCCC[N+](C)(CCC)C(C)C,CCCC[N+](C)(CCC)C(C)C,True,20341245.0,butyl-methyl-propan-2-yl-propylazanium,172.33
111,11,CCCC[N+](C)(CCC)CCC,CCCC[N+](C)(CCC)CCC,True,87509031.0,butyl-methyl-dipropylazanium,172.33
112,11,CCCC[N+](CC)(CC)C(C)C,CCCC[N+](CC)(CC)C(C)C,True,87916183.0,butyl-diethyl-propan-2-ylazanium,172.33
113,11,CCCC[N+](CC)(CC)CCC,CCCC[N+](CC)(CC)CCC,True,5249160.0,butyl-diethyl-propylazanium,172.33
114,11,CCC[N+](C)(C(C)C)C(C)(C)C,CCC[N+](C)(C(C)C)C(C)(C)C,True,,,
