Index,Num_c,SMILES,CID,IUPACName,XLogP,Volume3D,MolecularWeight,Charge,EffectiveRotorCount3D,RotatableBondCount,TPSA,Complexity,HeavyAtomCount,FeatureCationCount3D,FeatureHydrophobeCount3D,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,ConformerCount3D
90,14,CCCCC[N+](CC)(CC)CCCCC,87534181,diethyl(dipentyl)azanium,4.6,195.7,214.41,1,10.0,10,0,115,15,1.0,2.0,5.86,5.53,1.29,10
91,14,CCCCC[N+](CC)(CCC)CCCC,71366278,butyl-ethyl-pentyl-propylazanium,4.6,195.4,214.41,1,10.0,10,0,133,15,1.0,3.0,7.69,3.4,1.6,10
92,14,CCCCC[N+](CCC)(CCC)CCC,20376265,pentyl(tripropyl)azanium,4.8,195.3,214.41,1,10.0,10,0,114,15,1.0,4.0,6.93,2.73,2.31,10
93,14,CCCC[N+](CC)(CCCC)CCCC,44528,tributyl(ethyl)azanium,4.4,195.0,214.41,1,10.0,10,0,110,15,1.0,3.0,6.52,3.48,1.81,10
94,14,CCCC[N+](CCC)(CCC)CCCC,20480844,dibutyl(dipropyl)azanium,4.6,194.9,214.41,1,10.0,10,0,115,15,1.0,4.0,6.22,2.89,2.33,10
95,15,CCCCCCCCCCCC[N+](C)(C)C,8153,dodecyl(trimethyl)azanium,5.9,212.9,228.44,1,11.0,11,0,135,16,1.0,1.0,28.75,0.95,0.81,10
96,15,CCCCCCCCCCC[N+](C)(C)CC,90351725,ethyl-dimethyl-undecylazanium,5.7,211.3,228.44,1,11.0,11,0,140,16,1.0,1.0,25.87,1.14,0.82,10
97,15,CCCCCCCCCC[N+](C)(C)CCC,17915707,decyl-dimethyl-propylazanium,5.7,211.6,228.44,1,11.0,11,0,140,16,1.0,2.0,23.9,1.41,0.82,10
98,15,CCCCCCCCCC[N+](C)(CC)CC,10450839,decyl-diethyl-methylazanium,5.5,210.3,228.44,1,11.0,11,0,138,16,1.0,1.0,21.9,1.38,0.98,10
99,15,CCCCCCCCC[N+](C)(C)CCCC,87493295,butyl-dimethyl-nonylazanium,5.5,211.3,228.44,1,11.0,11,0,140,16,1.0,2.0,17.69,2.77,0.93,10
101,15,CCCCCCCCC[N+](CC)(CC)CC,2249305,triethyl(nonyl)azanium,5.3,208.6,228.44,1,11.0,11,0,130,16,1.0,1.0,18.64,1.4,1.27,10
102,15,CCCCCCCC[N+](C)(C)CCCCC,71346400,dimethyl-octyl-pentylazanium,5.5,211.9,228.44,1,11.0,11,0,140,16,1.0,4.0,19.91,2.4,0.83,10
103,15,CCCCCCCC[N+](C)(CC)CCCC,53833324,butyl-ethyl-methyl-octylazanium,5.3,209.9,228.44,1,11.0,11,0,144,16,1.0,4.0,17.04,2.28,1.02,10
