Index,Num_c,SMILES,CID,IUPACName,MolecularWeight,Volume3D,HeavyAtomCount,Charge,TPSA,XLogP,Complexity,RotatableBondCount,EffectiveRotorCount3D,HBondDonorCount,HBondAcceptorCount,XStericQuadrupole3D,YStericQuadrupole3D,ZStericQuadrupole3D,FeatureCationCount3D,FeatureHydrophobeCount3D,ConformerCount3D,ConformerModelRMSD3D
128,16,CCCCCCCCCC[N+](CC)(CC)CC,9835339,decyl(triethyl)azanium,242.46,221.7,17,1,0,5.9,141,12,12.0,0,0,22.36,1.35,1.26,1.0,1.0,10,1.0
129,16,CCCCCCCCC[N+](C)(C)CCCCC,87493818,dimethyl-nonyl-pentylazanium,242.46,224.8,17,1,0,6.0,152,12,12.0,0,0,23.54,2.45,0.81,1.0,2.0,10,1.2
130,16,CCCCCCCCC[N+](C)(CC)CCCC,159414620,butyl-ethyl-methyl-nonylazanium,242.46,222.5,17,1,0,5.9,156,12,12.0,0,0,13.4,2.92,1.48,1.0,2.0,10,1.2
133,16,CCCCCCCC[N+](C)(C)CCCCCC,44630345,hexyl-dimethyl-octylazanium,242.46,224.6,17,1,0,6.0,152,12,12.0,0,0,22.06,2.79,0.83,1.0,5.0,10,1.2
134,16,CCCCCCCC[N+](C)(CC)CCCCC,123637971,ethyl-methyl-octyl-pentylazanium,242.46,223.1,17,1,0,5.9,156,12,12.0,0,0,18.99,2.62,1.03,1.0,4.0,10,1.2
135,16,CCCCCCCC[N+](C)(CCC)CCCC,141640656,butyl-methyl-octyl-propylazanium,242.46,222.6,17,1,0,5.8,156,12,12.0,0,0,11.35,3.52,1.9,1.0,5.0,10,1.2
136,16,CCCCCCCC[N+](CC)(CC)CCCC,127262847,butyl-diethyl-octylazanium,242.46,221.3,17,1,0,5.7,150,12,12.0,0,0,13.74,3.32,1.27,1.0,4.0,10,1.0
138,16,CCCCCCC[N+](C)(C)CCCCCCC,17912687,diheptyl(dimethyl)azanium,242.46,224.6,17,1,0,6.0,136,12,12.0,0,0,14.95,5.43,0.92,1.0,4.0,10,1.2
139,16,CCCCCCC[N+](C)(CC)CCCCCC,175528723,ethyl-heptyl-hexyl-methylazanium,242.46,222.9,17,1,0,5.9,156,12,12.0,0,0,9.79,6.08,0.99,1.0,4.0,10,1.2
140,16,CCCCCCC[N+](C)(CCC)CCCCC,71382092,heptyl-methyl-pentyl-propylazanium,242.46,223.1,17,1,0,5.8,156,12,12.0,0,0,15.35,3.6,1.05,1.0,4.0,10,1.2
141,16,CCCCCCC[N+](C)(CCCC)CCCC,150372540,dibutyl-heptyl-methylazanium,242.46,223.1,17,1,0,5.7,146,12,12.0,0,0,12.26,4.47,1.26,1.0,4.0,10,1.0
144,16,CCCCCCC[N+](CCC)(CCC)CCC,20266119,heptyl(tripropyl)azanium,242.46,221.3,17,1,0,5.8,137,12,12.0,0,0,12.02,2.65,2.09,1.0,5.0,10,1.0
