序号,碳数,SMILES
306,13,CCC[N+](C)(CCC(C)C)CC(C)C
307,13,CCC[N+](CC(C)C)(C(C)C)C(C)C
308,13,CCC[N+](CC)(C(C)(C)C)C(C)(C)C
309,13,CCC[N+](CC)(CC(C)C)C(C)(C)C
310,13,CCC[N+](CC)(CC(C)C)CC(C)C
311,13,CCC[N+](CC)(CC(C)CC)C(C)C
312,13,CCC[N+](CC)(CCC(C)C)C(C)C
313,13,CCC[N+](CC)(CCC)CC(C)CC
314,13,CCC[N+](CC)(CCC)CCC(C)C
315,13,CCC[N+](CCC)(C(C)C)C(C)(C)C
316,13,CCC[N+](CCC)(CC(C)C)C(C)C
317,13,CCC[N+](CCC)(CCC)C(C)(C)C
318,13,CCC[N+](CCC)(CCC)CC(C)C
319,13,CC[N+](C(C)C)(C(C)(C)C)C(C)(C)C
320,13,CC[N+](C)(CCC(C)C)CCC(C)C
321,13,CC[N+](CC(C)C)(C(C)C)C(C)(C)C
322,13,CC[N+](CC(C)C)(CC(C)C)C(C)C
323,13,CC[N+](CC)(CCC(C)C)C(C)(C)C
324,13,CC[N+](CC)(CCC(C)C)CC(C)C
325,13,CC[N+](CCC(C)C)(C(C)C)C(C)C
326,14,CC(C)CC[N+](C(C)C)(C(C)C)C(C)C
327,14,CC(C)CC[N+](C)(C(C)(C)C)C(C)(C)C
328,14,CC(C)CC[N+](C)(CC(C)C)C(C)(C)C
329,14,CC(C)CC[N+](C)(CC(C)C)CC(C)C
330,14,CC(C)CC[N+](C)(CCC(C)C)C(C)C
331,14,CC(C)C[N+](C(C)C)(C(C)C)C(C)(C)C
332,14,CC(C)C[N+](CC(C)C)(C(C)C)C(C)C
333,14,CC(C)[N+](C(C)C)(C(C)(C)C)C(C)(C)C
334,14,CCC(C)C[N+](C(C)C)(C(C)C)C(C)C
335,14,CCC(C)C[N+](C)(C(C)(C)C)C(C)(C)C
336,14,CCC(C)C[N+](C)(CC(C)C)C(C)(C)C
337,14,CCC(C)C[N+](C)(CC(C)C)CC(C)C
338,14,CCC(C)C[N+](C)(CC(C)CC)C(C)C
339,14,CCC(C)C[N+](C)(CCC(C)C)C(C)C
340,14,CCC(C)C[N+](CC)(C(C)C)C(C)(C)C
341,14,CCC(C)C[N+](CC)(CC(C)C)C(C)C
342,14,CCC(C)C[N+](CC)(CC)CC(C)CC
343,14,CCC(C)C[N+](CC)(CC)CCC(C)C
344,14,CCCC(C)[N+](C(C)C)(C(C)C)C(C)C
345,14,CCCC(C)[N+](C)(C(C)(C)C)C(C)(C)C
346,14,CCCC(C)[N+](C)(C(C)C)C(C)CCC
347,14,CCCC(C)[N+](C)(CC(C)C)C(C)(C)C
348,14,CCCC(C)[N+](C)(CC(C)C)CC(C)C
349,14,CCCC(C)[N+](C)(CC(C)CC)C(C)C
350,14,CCCC(C)[N+](C)(CCC(C)C)C(C)C
351,14,CCCC(C)[N+](C)(CCC)C(C)CCC
352,14,CCCC(C)[N+](C)(CCC)CC(C)CC
353,14,CCCC(C)[N+](C)(CCC)CCC(C)C
354,14,CCCC(C)[N+](CC)(C(C)C)C(C)(C)C
355,14,CCCC(C)[N+](CC)(CC(C)C)C(C)C
356,14,CCCC(C)[N+](CC)(CC)C(C)CCC
357,14,CCCC(C)[N+](CC)(CC)CC(C)CC
358,14,CCCC(C)[N+](CC)(CC)CCC(C)C
359,14,CCCC(C)[N+](CC)(CCC)C(C)(C)C
360,14,CCCC(C)[N+](CC)(CCC)CC(C)C
361,14,CCCC(C)[N+](CCC)(C(C)C)C(C)C
362,14,CCCC(C)[N+](CCC)(CCC)C(C)C
363,14,CCCC(C)[N+](CCC)(CCC)CCC
364,14,CCCCCCC[N+](C)(C(C)C)C(C)C
365,14,CCCCCCC[N+](C)(C)C(C)CCC
366,14,CCCCCCC[N+](C)(C)CC(C)CC
367,14,CCCCCCC[N+](C)(C)CCC(C)C
368,14,CCCCCCC[N+](C)(C)CCCCC
369,14,CCCCCCC[N+](C)(CC)C(C)(C)C
370,14,CCCCCCC[N+](C)(CC)CC(C)C
371,14,CCCCCCC[N+](C)(CC)CCCC
372,14,CCCCCCC[N+](C)(CCC)C(C)C
373,14,CCCCCCC[N+](C)(CCC)CCC
374,14,CCCCCCC[N+](CC)(CC)C(C)C
375,14,CCCCCCC[N+](CC)(CC)CCC
376,14,CCCCCC[N+](C)(C(C)C)C(C)(C)C
377,14,CCCCCC[N+](C)(C)CCCCCC
378,14,CCCCCC[N+](C)(CC(C)C)C(C)C
379,14,CCCCCC[N+](C)(CC)C(C)CCC
380,14,CCCCCC[N+](C)(CC)CC(C)CC
381,14,CCCCCC[N+](C)(CC)CCC(C)C
382,14,CCCCCC[N+](C)(CC)CCCCC
383,14,CCCCCC[N+](C)(CCC)C(C)(C)C
384,14,CCCCCC[N+](C)(CCC)CC(C)C
385,14,CCCCCC[N+](C)(CCC)CCCC
386,14,CCCCCC[N+](C)(CCCC)C(C)C
387,14,CCCCCC[N+](CC)(C(C)C)C(C)C
388,14,CCCCCC[N+](CC)(CC)C(C)(C)C
389,14,CCCCCC[N+](CC)(CC)CC(C)C
390,14,CCCCCC[N+](CC)(CC)CCCC
391,14,CCCCCC[N+](CC)(CCC)C(C)C
392,14,CCCCCC[N+](CC)(CCC)CCC
393,14,CCCCC[N+](C(C)C)(C(C)C)C(C)C
394,14,CCCCC[N+](C)(C(C)(C)C)C(C)(C)C
395,14,CCCCC[N+](C)(C(C)C)C(C)CCC
396,14,CCCCC[N+](C)(CC(C)C)C(C)(C)C
397,14,CCCCC[N+](C)(CC(C)C)CC(C)C
398,14,CCCCC[N+](C)(CC(C)CC)C(C)C
399,14,CCCCC[N+](C)(CCC(C)C)C(C)C
400,14,CCCCC[N+](C)(CCC)C(C)CCC
401,14,CCCCC[N+](C)(CCC)CC(C)CC
402,14,CCCCC[N+](C)(CCC)CCC(C)C
403,14,CCCCC[N+](C)(CCC)CCCCC
404,14,CCCCC[N+](C)(CCCC)C(C)(C)C
405,14,CCCCC[N+](C)(CCCC)CC(C)C
406,14,CCCCC[N+](C)(CCCC)CCCC
407,14,CCCCC[N+](C)(CCCCC)C(C)C
408,14,CCCCC[N+](CC)(C(C)C)C(C)(C)C
409,14,CCCCC[N+](CC)(CC(C)C)C(C)C
410,14,CCCCC[N+](CC)(CC)C(C)CCC
411,14,CCCCC[N+](CC)(CC)CC(C)CC
412,14,CCCCC[N+](CC)(CC)CCC(C)C
413,14,CCCCC[N+](CC)(CC)CCCCC
414,14,CCCCC[N+](CC)(CCC)C(C)(C)C
415,14,CCCCC[N+](CC)(CCC)CC(C)C
416,14,CCCCC[N+](CC)(CCC)CCCC
417,14,CCCCC[N+](CC)(CCCC)C(C)C
418,14,CCCCC[N+](CCC)(C(C)C)C(C)C
419,14,CCCCC[N+](CCC)(CCC)C(C)C
420,14,CCCCC[N+](CCC)(CCC)CCC
421,14,CCCC[N+](C(C)C)(C(C)C)C(C)(C)C
422,14,CCCC[N+](C)(C(C)CCC)C(C)(C)C
423,14,CCCC[N+](C)(CC(C)C)C(C)CCC
424,14,CCCC[N+](C)(CC(C)C)CC(C)CC
425,14,CCCC[N+](C)(CC(C)CC)C(C)(C)C
426,14,CCCC[N+](C)(CCC(C)C)C(C)(C)C
427,14,CCCC[N+](C)(CCC(C)C)CC(C)C
428,14,CCCC[N+](C)(CCCC)C(C)CCC
429,14,CCCC[N+](C)(CCCC)CC(C)CC
430,14,CCCC[N+](C)(CCCC)CCC(C)C
431,14,CCCC[N+](CC(C)C)(C(C)C)C(C)C
432,14,CCCC[N+](CC)(C(C)(C)C)C(C)(C)C
433,14,CCCC[N+](CC)(C(C)C)C(C)CCC
434,14,CCCC[N+](CC)(CC(C)C)C(C)(C)C
435,14,CCCC[N+](CC)(CC(C)C)CC(C)C
436,14,CCCC[N+](CC)(CC(C)CC)C(C)C
437,14,CCCC[N+](CC)(CCC(C)C)C(C)C
438,14,CCCC[N+](CC)(CCC)C(C)CCC
439,14,CCCC[N+](CC)(CCC)CC(C)CC
440,14,CCCC[N+](CC)(CCC)CCC(C)C
441,14,CCCC[N+](CC)(CCCC)C(C)(C)C
442,14,CCCC[N+](CC)(CCCC)CC(C)C
443,14,CCCC[N+](CC)(CCCC)CCCC
444,14,CCCC[N+](CCC)(C(C)C)C(C)(C)C
445,14,CCCC[N+](CCC)(CC(C)C)C(C)C
446,14,CCCC[N+](CCC)(CCC)C(C)(C)C
447,14,CCCC[N+](CCC)(CCC)CC(C)C
448,14,CCCC[N+](CCC)(CCC)CCCC
449,14,CCCC[N+](CCC)(CCCC)C(C)C
450,14,CCCC[N+](CCCC)(C(C)C)C(C)C
451,14,CCC[N+](C(C)C)(C(C)(C)C)C(C)(C)C
452,14,CCC[N+](C)(CC(C)CC)CC(C)CC
453,14,CCC[N+](C)(CCC(C)C)CC(C)CC
454,14,CCC[N+](C)(CCC(C)C)CCC(C)C
455,14,CCC[N+](CC(C)C)(C(C)C)C(C)(C)C
456,14,CCC[N+](CC(C)C)(CC(C)C)C(C)C
457,14,CCC[N+](CC(C)CC)(C(C)C)C(C)C
458,14,CCC[N+](CC)(CC(C)C)CC(C)CC
459,14,CCC[N+](CC)(CC(C)CC)C(C)(C)C
460,14,CCC[N+](CC)(CCC(C)C)C(C)(C)C
461,14,CCC[N+](CC)(CCC(C)C)CC(C)C
462,14,CCC[N+](CCC(C)C)(C(C)C)C(C)C
463,14,CCC[N+](CCC)(C(C)(C)C)C(C)(C)C
464,14,CCC[N+](CCC)(CC(C)C)C(C)(C)C
465,14,CCC[N+](CCC)(CC(C)C)CC(C)C
466,14,CCC[N+](CCC)(CC(C)CC)C(C)C
467,14,CCC[N+](CCC)(CCC(C)C)C(C)C
468,14,CCC[N+](CCC)(CCC)CC(C)CC
469,14,CCC[N+](CCC)(CCC)CCC(C)C
470,14,CC[N+](C(C)(C)C)(C(C)(C)C)C(C)(C)C
471,14,CC[N+](CC(C)C)(C(C)(C)C)C(C)(C)C
472,14,CC[N+](CC(C)C)(CC(C)C)C(C)(C)C
473,14,CC[N+](CC(C)C)(CC(C)C)CC(C)C
474,14,CC[N+](CC)(CCC(C)C)CCC(C)C
475,14,CC[N+](CCC(C)C)(C(C)C)C(C)(C)C
476,14,CC[N+](CCC(C)C)(CC(C)C)C(C)C
477,15,CC(C)CC[N+](C(C)C)(C(C)C)C(C)(C)C
478,15,CC(C)CC[N+](C)(CCC(C)C)C(C)(C)C
479,15,CC(C)CC[N+](C)(CCC(C)C)CC(C)C
480,15,CC(C)CC[N+](CC(C)C)(C(C)C)C(C)C
481,15,CC(C)C[N+](C(C)C)(C(C)(C)C)C(C)(C)C
482,15,CC(C)C[N+](CC(C)C)(C(C)C)C(C)(C)C
483,15,CC(C)C[N+](CC(C)C)(CC(C)C)C(C)C
484,15,CC(C)[N+](C(C)(C)C)(C(C)(C)C)C(C)(C)C
485,15,CCC(C)C[N+](C(C)C)(C(C)C)C(C)(C)C
486,15,CCC(C)C[N+](C)(CC(C)C)CC(C)CC
487,15,CCC(C)C[N+](C)(CC(C)CC)C(C)(C)C
488,15,CCC(C)C[N+](C)(CCC(C)C)C(C)(C)C
489,15,CCC(C)C[N+](C)(CCC(C)C)CC(C)C
490,15,CCC(C)C[N+](CC(C)C)(C(C)C)C(C)C
491,15,CCC(C)C[N+](CC)(C(C)(C)C)C(C)(C)C
492,15,CCC(C)C[N+](CC)(CC(C)C)C(C)(C)C
493,15,CCC(C)C[N+](CC)(CC(C)C)CC(C)C
494,15,CCC(C)C[N+](CC)(CC(C)CC)C(C)C
495,15,CCC(C)C[N+](CC)(CCC(C)C)C(C)C
496,15,CCCC(C)[N+](C(C)C)(C(C)C)C(C)(C)C
